,,,,,,,SHOOT COUNTS 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANOPY HEIGHT 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLOWERING 2011,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sarah's crude flowering observations on ABR15FS for 2011, there are one or two A stages which have been missed.",,,,,,,,,,,,,,,
,,,,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date
,,,,,,,140311,210311,280311,60411,110411,190411,240411,30511,90511,160511,240511,310511,60611,130611,200611,270611,40711,110711,190711,250711,10811,80811,150811,220811,300811,50911,130911,210911,31011,101011,171011,241011,11111,,30511,90511,160511,240511,310511,60611,130611,200611,270611,40711,110711,190711,250711,10811,80811,150811,220811,300811,50911,130911,210911,270911,31011,101011,171011,241011,11111,,190711,250711,10811,80811,150811,220811,300811,50911,130911,210911,290911,31011,131011,181011,251011,11111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,ROW,COLUMN,UID,Mx Number,Block,,DoY 73,80,87,96,101,109,114,123,129,136,144,151,157,164,171,178,185,192,200,206,213,220,227,234,242,248,256,264,276,283,290,297,305,,123,129,136,144,151,157,164,171,178,185,192,200,206,213,220,227,234,242,248,256,264,270,276,283,290,297,305,,200,206,213,220,227,234,242,248,256,264,272,276,286,291,298,305
1,1,1,27801, - Mx 1553#114,1,,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,5,5,5,8,7,7,11,12,15,16,14,15,17,17,18,19,20,20,,15,15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,NO
1,1,2,27810, - Mx 1553#101,1,,1,1,3,2,3,4,7,7,7,8,10,10,11,15,15,18,28,28,31,32,35,35,38,39,42,43,46,46,66,72,84,81,79,,15,15,20,25,30,30,25,30,35,40,45,45,50,50,55,55,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,A,,,,CHANGE
1,1,3,27819, - Mx 1553#25,1,,0,0,2,3,3,2,3,4,4,4,4,5,6,7,7,9,10,11,12,12,12,13,13,10,12,12.8,12,11,12,12,13,13,13,,15,20,20,20,20,25,20,25,30,30,30,30,35,35,35,40,45,50,50,50,50,50,45,45,45,45,45,,,,,,,,,,,,,A,,F,,
1,1,4,27827, - Mx 1553#1,1,,0,0,3,3,2,3,5,6,7,7,7,7,8,11,12,12,13,16,19,21,23,24,26,27,28,30,31,31,42,40,48,47,47,,10,15,15,15,20,20,20,20,25,30,30,30,30,35,35,40,45,45,50,50,50,50,55,55,55,55,55,,,,,,,,,,,,,,,,,
