No.,Batch,UID,Trial,Mx#,Rep,Row,Col,Live,FW wt,FS wt,DS wt,,MC%,DW%,Whole DW,,
1,B24,27801,ABR 15 FS,  Mx 1553#114,Block 1,R1,C1,1,4,3,3,,0,100,4,,1
2,B24,27810,ABR 15 FS,  Mx 1553#101,Block 1,R1,C2,1,97,86,64,,25.6,74.4,72.2,,11
3,B24,27819,ABR 15 FS,  Mx 1553#25,Block 1,R1,C3,1,25,21,16,,23.8,76.2,19,,4
4,B24,27827,ABR 15 FS,  Mx 1553#1,Block 1,R1,C4,1,62,58,39,,32.8,67.2,41.7,,4
5,B24,27835,ABR 15 FS,  Mx 1553#45,Block 1,R1,C5,1,9,9,5,,44.4,55.6,5,,0
6,B24,61696,ABR 15 FS,  Goliath,Block 1,R1,C6,0,0,0,0,,,,,,0
7,B24,27852,ABR 15 FS,  Mx 1553#28,Block 1,R1,C7,1,23,21,18,,14.3,85.7,19.7,,2
8,B24,27861,ABR 15 FS,  Mx 1553#79,Block 1,R1,C8,1,26,21,10,,52.4,47.6,12.4,,5
9,B24,27870,ABR 15 FS,  Mx 1553#105,Block 1,R1,C9,1,9,8,7,,12.5,87.5,7.9,,1
10,B24,27878,ABR 15 FS,  Mx 1553#48,Block 1,R1,C10,1,101,89,63,,29.2,70.8,71.5,,12
11,B24,27887,ABR 15 FS,  Mx 1553#120,Block 1,R1,C11,1,80,70,49,,30,70,56,,10
12,B24,27895,ABR 15 FS,  Mx 1553#74,Block 1,R1,C12,1,57,50,41,,18,82,46.7,,7
13,B24,61697,ABR 15 FS,  Goliath,Block 1,R2,C12,1,57.3,52.8,36.3,,31.3,68.8,39.4,,4.5
14,B24,61698,ABR 15 FS,  Goliath,Block 1,R2,C11,0,0,0,0,,,,,,0
15,B24,27879,ABR 15 FS,  Mx 1553#4,Block 1,R2,C10,1,153,131,95,,27.5,72.5,111,,22
16,B24,27871,ABR 15 FS,  Mx 1553#77,Block 1,R2,C9,1,161,106,85,,19.8,80.2,129.1,,55
17,B24,27862,ABR 15 FS,  Mx 1553#110,Block 1,R2,C8,1,73,68,52,,23.5,76.5,55.8,,5
18,B24,27853,ABR 15 FS,  Mx 1553#6,Block 1,R2,C7,1,59,53,42,,20.8,79.2,46.8,,6
19,B24,27844,ABR 15 FS,  Mx 1553#36,Block 1,R2,C6,1,138,109,83,,23.9,76.1,105.1,,29
20,B24,27836,ABR 15 FS,  Mx 1553#43,Block 1,R2,C5,1,24,23,18,,21.7,78.3,18.8,,1
21,B24,27828,ABR 15 FS,  Mx 1553#3,Block 1,R2,C4,1,93,88,58,,34.1,65.9,61.3,,5
22,B24,27820,ABR 15 FS,  Mx 1553#116,Block 1,R2,C3,1,68,59,46,,22,78,53,,9
23,B24,27811,ABR 15 FS,  Mx 1553#55,Block 1,R2,C2,1,6,6,6,,0,100,6,,0
24,B24,27802,ABR 15 FS,  Mx 1553#12,Block 1,R2,C1,1,83,75,58,,22.7,77.3,64.2,,8
25,B24,27803,ABR 15 FS,  Mx 1553#47,Block 1,R3,C1,1,197,153,121,,20.9,79.1,155.8,,44
26,B24,27812,ABR 15 FS,  Mx 1553#115,Block 1,R3,C2,1,3,3,2,,33.3,66.7,2,,0
27,B24,27821,ABR 15 FS,  Mx 1553#66,Block 1,R3,C3,1,18,18,12,,33.3,66.7,12,,0
28,B24,61699,ABR 15 FS,  Goliath,Block 1,R3,C4,1,16.5,15.5,11.6,,25.2,74.8,12.3,,1
29,B24,27837,ABR 15 FS,  Mx 1553#23,Block 1,R3,C5,1,69,61,48,,21.3,78.7,54.3,,8
30,B24,27845,ABR 15 FS,  Mx 1553#37,Block 1,R3,C6,1,31,28,22,,21.4,78.6,24.4,,3
31,B24,27854,ABR 15 FS,  Mx 1553#71,Block 1,R3,C7,1,14,12,8,,33.3,66.7,9.3,,2
32,B24,27863,ABR 15 FS,  Mx 1553#109,Block 1,R3,C8,1,40,35,29,,17.1,82.9,33.1,,5
33,B24,27872,ABR 15 FS,  Mx 1553#89,Block 1,R3,C9,1,42,38,31,,18.4,81.6,34.3,,4
34,B24,27880,ABR 15 FS,  Mx 1553#73,Block 1,R3,C10,1,96,80,59,,26.3,73.8,70.8,,16
35,B24,27888,ABR 15 FS,  Mx 1553#7,Block 1,R3,C11,1,47,42,34,,19,81,38,,5
36,B24,27896,ABR 15 FS,  Mx 1553#2,Block 1,R3,C12,1,71,58,43,,25.9,74.1,52.6,,13
37,B24,27897,ABR 15 FS,  Mx 1553#10,Block 1,R4,C12,1,144,100,79,,21,79,113.8,,44
38,B24,27889,ABR 15 FS,  Mx 1553#103,Block 1,R4,C11,0,0,0,0,,,,,,0
39,B24,27881,ABR 15 FS,  Mx 1553#20,Block 1,R4,C10,0,0,0,0,,,,,,0
40,B24,27873,ABR 15 FS,  Mx 1553#5,Block 1,R4,C9,1,1,1,1,,0,100,1,,0
41,B24,27864,ABR 15 FS,  Mx 1553#80,Block 1,R4,C8,1,113,91,78,,14.3,85.7,96.9,,22
42,B24,27855,ABR 15 FS,  Mx 1553#86,Block 1,R4,C7,1,24,22,19,,13.6,86.4,20.7,,2
43,B24,27846,ABR 15 FS,  Mx 1553#90,Block 1,R4,C6,1,8,7,5,,28.6,71.4,5.7,,1
44,B24,27838,ABR 15 FS,  Mx 1553#15,Block 1,R4,C5,1,32,30,25,,16.7,83.3,26.7,,2
45,B24,27829,ABR 15 FS,  Mx 1553#32,Block 1,R4,C4,1,17,15,12,,20,80,13.6,,2
46,B24,27822,ABR 15 FS,  Mx 1553#61,Block 1,R4,C3,1,40,36,29,,19.4,80.6,32.2,,4
47,B24,27813,ABR 15 FS,  Mx 1553#75,Block 1,R4,C2,1,35,30,24,,20,80,28,,5
48,B24,27804,ABR 15 FS,  Mx 1553#24,Block 1,R4,C1,1,150,124,108,,12.9,87.1,130.6,,26
49,B24,27805,ABR 15 FS,  Mx 1553#17,Block 1,R5,C1,1,21,19,13,,31.6,68.4,14.4,,2
50,B24,27814,ABR 15 FS,  Mx 1553#97,Block 1,R5,C2,1,23,22,18,,18.2,81.8,18.8,,1
51,B24,27823,ABR 15 FS,  Mx 1553#57,Block 1,R5,C3,1,49,46,34,,26.1,73.9,36.2,,3
52,B24,27830,ABR 15 FS,  Mx 1553#67,Block 1,R5,C4,1,30,27,18,,33.3,66.7,20,,3
53,B24,27839,ABR 15 FS,  Mx 1553#88,Block 1,R5,C5,1,34,30,25,,16.7,83.3,28.3,,4
54,B24,27847,ABR 15 FS,  Mx 1553#51,Block 1,R5,C6,1,22,20,14,,30,70,15.4,,2
55,B24,27856,ABR 15 FS,  Mx 1553#94,Block 1,R5,C7,1,41,35,32,,8.6,91.4,37.5,,6
56,B24,27865,ABR 15 FS,  Mx 1553#8,Block 1,R5,C8,1,123,77,56,,27.3,72.7,89.5,,46
57,B24,27874,ABR 15 FS,  Mx 1553#22,Block 1,R5,C9,1,182,147,118,,19.7,80.3,146.1,,35
58,B24,27882,ABR 15 FS,  Mx 1553#92,Block 1,R5,C10,1,175,147,113,,23.1,76.9,134.5,,28
59,B24,27890,ABR 15 FS,  Mx 1553#84,Block 1,R5,C11,1,28,27,18,,33.3,66.7,18.7,,1
60,B24,27898,ABR 15 FS,  Mx 1553#60,Block 1,R5,C12,1,103,90,65,,27.8,72.2,74.4,,13
61,B24,27899,ABR 15 FS,  Mx 1553#82,Block 1,R6,C12,1,147,112,85,,24.1,75.9,111.6,,35
62,B24,27891,ABR 15 FS,  Mx 1553#104,Block 1,R6,C11,1,31,30,24,,20,80,24.8,,1
63,B24,27883,ABR 15 FS,  Mx 1553#59,Block 1,R6,C10,1,15,14,2,,85.7,14.3,2.1,,1
64,B24,27875,ABR 15 FS,  Mx 1553#119,Block 1,R6,C9,1,49,45,38,,15.6,84.4,41.4,,4
65,B24,27866,ABR 15 FS,  Mx 1553#98,Block 1,R6,C8,1,24,21,16,,23.8,76.2,18.3,,3
66,B24,27857,ABR 15 FS,  Mx 1553#39,Block 1,R6,C7,1,170,133,99,,25.6,74.4,126.5,,37
67,B24,27848,ABR 15 FS,  Mx 1553#78,Block 1,R6,C6,1,1,1,0.6,,40,60,0.6,,0
68,B24,27840,ABR 15 FS,  Mx 1553#118,Block 1,R6,C5,0,0,0,0,,,,,,0
69,B24,27831,ABR 15 FS,  Mx 1553#95,Block 1,R6,C4,0,0,0,0,,,,,,0
70,B24,27824,ABR 15 FS,  Mx 1553#117,Block 1,R6,C3,1,55,51,38,,25.5,74.5,41,,4
71,B24,27815,ABR 15 FS,  Mx 1553#112,Block 1,R6,C2,1,4,4,3,,25,75,3,,0
72,B24,27806,ABR 15 FS,  Mx 1553#102,Block 1,R6,C1,1,36,32,28,,12.5,87.5,31.5,,4
73,B24,27807,ABR 15 FS,  Mx 1553#76,Block 1,R7,C1,1,22,20,17,,15,85,18.7,,2
74,B24,27816,ABR 15 FS,  Mx 1553#113,Block 1,R7,C2,1,24,22,20,,9.1,90.9,21.8,,2
75,B24,ABR 15 FS B1-R7 C3,ABR 15 FS,DISCARD PLANT,Block 1,R7,C3,0,0,0,0,,,100,0,,0
76,B24,27832,ABR 15 FS,  Mx 1553#42,Block 1,R7,C4,1,8,8,7,,12.5,87.5,7,,0
77,B24,27841,ABR 15 FS,  Mx 1553#40,Block 1,R7,C5,1,4,4,3,,25,75,3,,0
78,B24,27849,ABR 15 FS,  Mx 1553#68,Block 1,R7,C6,1,17,15,12,,20,80,13.6,,2
79,B24,27858,ABR 15 FS,  Mx 1553#14,Block 1,R7,C7,1,5,5,4,,20,80,4,,0
80,B24,27867,ABR 15 FS,  Mx 1553#69,Block 1,R7,C8,1,73,57,46,,19.3,80.7,58.9,,16
81,B24,27876,ABR 15 FS,  Mx 1553#16,Block 1,R7,C9,1,58,52,37,,28.8,71.2,41.3,,6
82,B24,27884,ABR 15 FS,  Mx 1553#81,Block 1,R7,C10,1,3,3,3,,0,100,3,,0
83,B24,27892,ABR 15 FS,  Mx 1553#26,Block 1,R7,C11,0,0,0,0,,,,,,0
84,B24,27900,ABR 15 FS,  Mx 1553#44,Block 1,R7,C12,1,48,35,29,,17.1,82.9,39.8,,13
85,B24,27901,ABR 15 FS,  Mx 1553#91,Block 1,R8,C12,1,29,28,18,,35.7,64.3,18.6,,1
86,B24,27893,ABR 15 FS,  Mx 1553#99,Block 1,R8,C11,1,147,102,70,,31.4,68.6,100.9,,45
87,B24,27885,ABR 15 FS,  Mx 1553#72,Block 1,R8,C10,1,22,20,16,,20,80,17.6,,2
88,B24,27877,ABR 15 FS,  Mx 1553#18,Block 1,R8,C9,1,157,123,95,,22.8,77.2,121.3,,34
89,B24,27868,ABR 15 FS,  Mx 1553#93,Block 1,R8,C8,1,117,105,83,,21,79,92.5,,12
90,B24,27859,ABR 15 FS,  Mx 1553#41,Block 1,R8,C7,1,51,38,31,,18.4,81.6,41.6,,13
91,B24,27850,ABR 15 FS,  Mx 1553#53,Block 1,R8,C6,1,148,115,97,,15.7,84.3,124.8,,33
92,B24,27842,ABR 15 FS,  Mx 1553#70,Block 1,R8,C5,1,30,27,24,,11.1,88.9,26.7,,3
93,B24,27833,ABR 15 FS,  Mx 1553#34,Block 1,R8,C4,1,111,91,64,,29.7,70.3,78.1,,20
94,B24,27825,ABR 15 FS,  Mx 1553#19,Block 1,R8,C3,1,77,61,52,,14.8,85.2,65.6,,16
95,B24,27817,ABR 15 FS,  Mx 1553#108,Block 1,R8,C2,1,101,78,66,,15.4,84.6,85.5,,23
96,B24,27808,ABR 15 FS,  Mx 1553#27,Block 1,R8,C1,1,44,40,30,,25,75,33,,4
97,B24,27809,ABR 15 FS,  Mx 1553#50,Block 1,R9,C1,1,2,1,1,,0,100,2,,1
98,B24,27818,ABR 15 FS,  Mx 1553#11,Block 1,R9,C2,1,80,67,59,,11.9,88.1,70.4,,13
99,B24,27826,ABR 15 FS,  Mx 1553#100,Block 1,R9,C3,1,21,19,17,,10.5,89.5,18.8,,2
100,B24,27834,ABR 15 FS,  Mx 1553#35,Block 1,R9,C4,1,62,44,39,,11.4,88.6,55,,18
101,B24,27843,ABR 15 FS,  Mx 1553#46,Block 1,R9,C5,1,34,30,23,,23.3,76.7,26.1,,4
102,B24,27851,ABR 15 FS,  Mx 1553#63,Block 1,R9,C6,1,66,48,42,,12.5,87.5,57.8,,18
103,B24,27860,ABR 15 FS,  Mx 1553#9,Block 1,R9,C7,1,9,7,6,,14.3,85.7,7.7,,2
104,B24,27869,ABR 15 FS,  Mx 1553#49,Block 1,R9,C8,1,217,172,125,,27.3,72.7,157.7,,45
105,B24,61700,ABR 15 FS,  Goliath,Block 1,R9,C9,1,19.9,17.3,12.3,,28.9,71.1,14.1,,2.6
106,B24,27886,ABR 15 FS,  Mx 1553#56,Block 1,R9,C10,1,18,15,12,,20,80,14.4,,3
107,B24,27894,ABR 15 FS,  Mx 1553#87,Block 1,R9,C11,1,44,39,28,,28.2,71.8,31.6,,5
108,B24,27902,ABR 15 FS,  Mx 1553#96,Block 1,R9,C12,1,100,95,74,,22.1,77.9,77.9,,5
109,B24,27903,ABR 15 FS,  Mx 1553#10,Block 2,R1,C1,1,37,30,26,,13.3,86.7,32.1,,7
110,B24,27912,ABR 15 FS,  Mx 1553#59,Block 2,R1,C2,0,0,0,0,,,,,,0
111,B24,27921,ABR 15 FS,  Mx 1553#60,Block 2,R1,C3,1,76,59,47,,20.3,79.7,60.5,,17
112,B24,27930,ABR 15 FS,  Mx 1553#55,Block 2,R1,C4,1,79,65,56,,13.8,86.2,68.1,,14
113,B24,27939,ABR 15 FS,  Mx 1553#104,Block 2,R1,C5,1,47,39,36,,7.7,92.3,43.4,,8
114,B24,27948,ABR 15 FS,  Mx 1553#56,Block 2,R1,C6,1,8,7,6,,14.3,85.7,6.9,,1
115,B24,27956,ABR 15 FS,  Mx 1553#70,Block 2,R1,C7,1,37,25,7,,72,28,10.4,,12
116,B24,27965,ABR 15 FS,  Mx 1553#28,Block 2,R1,C8,0,0,0,0,,,,,,0
117,B24,27973,ABR 15 FS,  Mx 1553#68,Block 2,R1,C9,1,49,37,33,,10.8,89.2,43.7,,12
118,B24,27981,ABR 15 FS,  Mx 1553#78,Block 2,R1,C10,1,1,1,1,,0,100,1,,0
119,B24,27990,ABR 15 FS,  Mx 1553#94,Block 2,R1,C11,0,0,0,0,,,,,,0
120,B24,27997,ABR 15 FS,  Mx 1553#113,Block 2,R1,C12,0,0,0,0,,,,,,0
121,B24,27998,ABR 15 FS,  Mx 1553#86,Block 2,R2,C12,1,117,93,75,,19.4,80.6,94.4,,24
122,B24,27991,ABR 15 FS,  Mx 1553#115,Block 2,R2,C11,1,43,41,35,,14.6,85.4,36.7,,2
123,B24,27982,ABR 15 FS,  Mx 1553#97,Block 2,R2,C10,1,15,15,12,,20,80,12,,0
124,B24,27974,ABR 15 FS,  Mx 1553#119,Block 2,R2,C9,1,16,15,12,,20,80,12.8,,1
125,B24,27966,ABR 15 FS,  Mx 1553#40,Block 2,R2,C8,1,43,40,30,,25,75,32.3,,3
126,B24,27957,ABR 15 FS,  Mx 1553#117,Block 2,R2,C7,0,0,0,0,,,,,,0
127,B24,27949,ABR 15 FS,  Mx 1553#46,Block 2,R2,C6,1,69,61,47,,23,77,53.2,,8
128,B24,27940,ABR 15 FS,  Mx 1553#96,Block 2,R2,C5,1,94,76,63,,17.1,82.9,77.9,,18
129,B24,27931,ABR 15 FS,  Mx 1553#110,Block 2,R2,C4,1,102,75,65,,13.3,86.7,88.4,,27
130,B24,27922,ABR 15 FS,  Mx 1553#98,Block 2,R2,C3,1,36,32,25,,21.9,78.1,28.1,,4
131,B24,27913,ABR 15 FS,  Mx 1553#89,Block 2,R2,C2,1,44,41,32,,22,78,34.3,,3
132,B24,27904,ABR 15 FS,  Mx 1553#91,Block 2,R2,C1,1,28,25,13,,48,52,14.6,,3
133,B24,27905,ABR 15 FS,  Mx 1553#27,Block 2,R3,C1,1,23,22,15,,31.8,68.2,15.7,,1
134,B24,27914,ABR 15 FS,  Mx 1553#4,Block 2,R3,C2,1,39,34,30,,11.8,88.2,34.4,,5
135,B24,27923,ABR 15 FS,  Mx 1553#25,Block 2,R3,C3,1,45,39,26,,33.3,66.7,30,,6
136,B24,27932,ABR 15 FS,  Mx 1553#118,Block 2,R3,C4,1,10,10,8,,20,80,8,,0
137,B24,27941,ABR 15 FS,  Mx 1553#90,Block 2,R3,C5,1,14,12,9,,25,75,10.5,,2
138,B24,27950,ABR 15 FS,  Mx 1553#75,Block 2,R3,C6,1,23,20,16,,20,80,18.4,,3
139,B24,27958,ABR 15 FS,  Mx 1553#22,Block 2,R3,C7,1,131,114,89,,21.9,78.1,102.3,,17
140,B24,27967,ABR 15 FS,  Mx 1553#103,Block 2,R3,C8,1,65,52,43,,17.3,82.7,53.8,,13
141,B24,27975,ABR 15 FS,  Mx 1553#16,Block 2,R3,C9,1,41,36,27,,25,75,30.8,,5
142,B24,27983,ABR 15 FS,  Mx 1553#49,Block 2,R3,C10,1,71,47,38,,19.1,80.9,57.4,,24
143,B24,27992,ABR 15 FS,  Mx 1553#92,Block 2,R3,C11,1,42,40,30,,25,75,31.5,,2
144,B24,27999,ABR 15 FS,  Mx 1553#100,Block 2,R3,C12,0,0,0,0,,,,,,0
145,B24,28000,ABR 15 FS,  Mx 1553#35,Block 2,R4,C12,1,116,98,78,,20.4,79.6,92.3,,18
146,B24,61701,ABR 15 FS,  Goliath,Block 2,R4,C11,1,25.3,22.8,17.4,,23.7,76.3,19.3,,2.5
147,B24,27984,ABR 15 FS,  Mx 1553#102,Block 2,R4,C10,1,23,21,20,,4.8,95.2,21.9,,2
148,B24,27976,ABR 15 FS,  Mx 1553#72,Block 2,R4,C9,1,53,40,32,,20,80,42.4,,13
149,B24,27968,ABR 15 FS,  Mx 1553#79,Block 2,R4,C8,1,33,30,23,,23.3,76.7,25.3,,3
150,B24,27959,ABR 15 FS,  Mx 1553#6,Block 2,R4,C7,1,8,7,4,,42.9,57.1,4.6,,1
151,B24,27951,ABR 15 FS,  Mx 1553#50,Block 2,R4,C6,1,46,38,32,,15.8,84.2,38.7,,8
152,B24,27942,ABR 15 FS,  Mx 1553#44,Block 2,R4,C5,1,63,45,38,,15.6,84.4,53.2,,18
