,,,,,,SP,,,SLH,,SP,KR,STJ,STJ,,,,SP,
,,,,,,41011,,,160112,,311111,Spring-Feb,221111,161111,,,,11111,
,,,,,,,,,,,,,,,,,,,
,,,,,,DoY 277,,,DoY 16 (+366),,DoY 336,,326,320,,,,305,
,,,,,,STEM DIAMETER (mm) ,,,PLANT ANGLE,,CLUMP(cm),CLUMP(cm),Transect,FLOWERING INTENSITY,,,Senesced,Tallest Stem (cm),
BLOCK,ROW,COLUMN,UID,Mx Number,Block,StemDiam1,StemDiam2,StemDiam3,AngleInside,AngleOutside,ClumpDiam1,ClumpDiam2,TransectCount,FloweringIntensityLessThan50,FloweringIntensityGreaterThan50,FloweringIntensityGreaterThan80,SenescedGreaterThan80,TallestStemLigule,TallestStemFlowerbase
1,1,1,27801, - Mx 1553#114,1,2.3,7,1.6,0,5,6.5,7,2,,,,,13.5,
1,1,2,27810, - Mx 1553#101,1,4.2,5.2,5,0,5,18,18,8,,,,,61,
1,1,3,27819, - Mx 1553#25,1,5.6,4.2,5.7,5,5,22.5,14,4,318,,,,80,62
1,1,4,27827, - Mx 1553#1,1,4,3.3,4.9,0,10,17,16,11,,,,,47,
1,1,5,27835, - Mx 1553#45,1,3.3,2.5,4.1,0,10,13,12,7,318,,,318,70,75
1,1,6,ABR 15 FS B1-R1 C6, - Goliath,1,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
1,1,7,27852, - Mx 1553#28,1,4.5,4.2,5.4,0,10,10,14,4,,,,,40.5,
1,1,8,27861, - Mx 1553#79,1,6.5,3.3,4.3,0,30,18,14,2,,,,,48.5,
1,1,9,27870, - Mx 1553#105,1,4.1,3.2,4.1,10,30,10,11,3,,,,,29,
1,1,10,27878, - Mx 1553#48,1,5.1,6.3,6.9,10,30,16,20,7,318,,,,77,78
1,1,11,27887, - Mx 1553#120,1,3.5,3.2,5.2,0,20,22,19,12,318,,,,64,62
1,1,12,27895, - Mx 1553#74,1,4.4,5.4,4.4,0,30,21,19,10,,,,318,93,83.5
1,2,12,ABR 15 FS B1-R2 C12, - Goliath,1,7.3,8.2,8.6,0,20,12,15,3,318,,,,86,86
1,2,11,ABR 15 FS B1-R2 C11, - Goliath,1,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
1,2,10,27879, - Mx 1553#4,1,4.8,5.8,4.2,0,20,25,24,9,318,,,,76,73
1,2,9,27871, - Mx 1553#77,1,5.1,6.2,6.5,20,20,19,18,14,,318,,,75,74
1,2,8,27862, - Mx 1553#110,1,5.1,6.1,5.6,10,20,27,25,8,318,,,,83,77
1,2,7,27853, - Mx 1553#6,1,5.9,5.6,4.7,0,30,16,17,6,,318,,,75,73
1,2,6,27844, - Mx 1553#36,1,6.5,6.6,4.7,0,15,13,11,8,318,,,,91,91
1,2,5,27836, - Mx 1553#43,1,6.3,6,4.8,0,20,13,12,5,318,,,,77,79
1,2,4,27828, - Mx 1553#3,1,7.4,5.9,5.4,0,20,25,23,9,,,,,48,
1,2,3,27820, - Mx 1553#116,1,4.3,4.9,4.2,0,30,14,15,10,,,,,31,
1,2,2,27811, - Mx 1553#55,1,5.1,5.8,3.4,20,20,17,13,1,,,318,318,72.5,71
1,2,1,27802, - Mx 1553#12,1,4.5,4.1,4.9,0,30,22,20,12,318,,,,79,89
1,3,1,27803, - Mx 1553#47,1,5.7,4.4,5,0,20,27,24,10,,,318,,81.5,85
1,3,2,27812, - Mx 1553#115,1,5.3,2.8,3.2,0,45,12,8,3,,318,,,55.5,60
1,3,3,27821, - Mx 1553#66,1,5.3,5.9,5.5,0,20,10,8,4,,,,,32,
