,,,,,,,Stem,Stem,Stem,Plant Angle,,Clump,Transect,Tallest Stem,,,Flowering Intensity,,,Senesced
,,,,,,,Diameter,Diameter,Diameter,inside ,outside,Diameter mm,Count,Ligule,True leaf,Flower,<50,>50,>80,>80
,,,,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date
,,,,,,,51112,51112,51112,10213,10213,131112,291012,271112,271112,271112,271112,271112,271112,271112
,,,,,,,,,,,,,,,,,,,,
BLOCK,ROW,COLUMN,UID,Mx Number,Block,,StemDiam1,StemDiam2,StemDiam3,AngleInside,AngleOutside,ClumpDiam,TransectCount,TallestStemLigule,TallestStemTrueLeaf,TallestStemFlower,FloweringIntensityLessThan50,FloweringIntensityGreaterThan50,FloweringIntensityGreaterThan80,SenescedGreaterThan80
1,1,1,27801, - Mx 1553#114,1,,3.1,2.6,2,0,10,120,10,20,20,,0,,,y
1,1,2,27810, - Mx 1553#101,1,,3.2,4.1,5.1,0,5,240,28,131,119,131,y,,,y
1,1,3,27819, - Mx 1553#25,1,,4.4,4.5,4.8,0,5,400,12,132,112,132,,,y,y
1,1,4,27827, - Mx 1553#1,1,,4.5,3.6,3,0,5,240,18,88,88,,0,,,y
1,1,5,27835, - Mx 1553#45,1,,3.7,3,2.4,0,10,210,16,104,79,109,,,y,y
1,1,6,aBR 15 fS B1-R1 C6, - Goliath,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,27852, - Mx 1553#28,1,,3.3,2.6,3,0,10,150,16,114,98,114,,y,,y
1,1,8,27861, - Mx 1553#79,1,,4.3,4.1,4.7,0,35,330,7,137,105,140,,,y,y
1,1,9,27870, - Mx 1553#105,1,,4,3.5,4.7,0,10,180,16,156,125,156,,,y,y
1,1,10,27878, - Mx 1553#48,1,,4.8,5.5,2.3,0,20,220,23,115,109,115,y,,,y
1,1,11,27887, - Mx 1553#120,1,,4.1,3.5,3.8,0,15,230,31,114,95,114,,y,,y
1,1,12,27895, - Mx 1553#74,1,,3.7,3.4,3.5,0,15,460,17,147,124,147,,,y,y
1,2,12,aBR 15 fS B1-R2 C12, - Goliath,1,,8.2,8.2,7.2,0,20,260,9,159,127,167,,,y,y
1,2,11,aBR 15 fS B1-R2 C11, - Goliath,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,10,27879, - Mx 1553#4,1,,4.9,3.7,4.4,0,15,340,25,115,105,115,,,y,y
1,2,9,27871, - Mx 1553#77,1,,5.1,4.9,3.5,0,10,250,24,155,142,155,,,y,y
1,2,8,27862, - Mx 1553#110,1,,5.44,5.1,4.5,0,15,300,26,157,133,157,,,y,y
1,2,7,27853, - Mx 1553#6,1,,3,3.7,2.8,0,10,280,22,141,117,150,,,y,y
1,2,6,27844, - Mx 1553#36,1,,5.7,5.3,4.8,0,15,210,19,166,143,166,,y,,y
1,2,5,27836, - Mx 1553#43,1,,4,5.5,4.1,0,15,200,17,149,131,152,,,y,y
1,2,4,27828, - Mx 1553#3,1,,5.3,6,4.5,0,15,270,21,66,66,,0,,,y
1,2,3,27820, - Mx 1553#116,1,,3.4,3.1,2.4,0,20,210,27,61,61,,0,,,y
1,2,2,27811, - Mx 1553#55,1,,3.1,3.6,4.2,0,10,210,11,149,113,150,,,y,y
1,2,1,27802, - Mx 1553#12,1,,3.3,2.7,3.2,0,10,260,33,138,110,140,,,y,y
1,3,1,27803, - Mx 1553#47,1,,5,4,4.2,0,15,300,34,140,125,140,,,y,y
1,3,2,27812, - Mx 1553#115,1,,3.6,3.6,4.4,0,15,210,10,130,103,136,,,y,y
1,3,3,27821, - Mx 1553#66,1,,4.3,4.6,3.2,0,45,80,11,48,45,,0,,,y
1,3,4,aBR 15 fS B1-R3 C4, - Goliath,1,,7.4,6.4,7.3,0,15,210,9,130,110,140,,,y,y
1,3,5,27837, - Mx 1553#23,1,,4.2,5.9,3.7,5,20,210,19,134,113,141,,,y,y
1,3,6,27845, - Mx 1553#37,1,,4.3,4.7,3.7,5,20,180,22,116,87,124,0,,y,y
1,3,7,27854, - Mx 1553#71,1,,5.3,3.2,3,0,10,130,13,114,83,114,,,y,y
1,3,8,27863, - Mx 1553#109,1,,5.2,4.2,3.7,5,10,210,13,127,117,127,,y,,y
1,3,9,27872, - Mx 1553#89,1,,3.9,3.8,3.8,0,15,280,25,146,117,153,,,y,y
1,3,10,27880, - Mx 1553#73,1,,5.9,4.5,4.6,0,15,190,21,131,116,131,,,y,y
1,3,11,27888, - Mx 1553#7,1,,4.4,3.7,4.2,0,15,240,20,120,105,120,,y,,y
1,3,12,27896, - Mx 1553#2,1,,4.3,4.3,3.3,0,10,300,17,117,102,117,,,y,y
1,4,12,27897, - Mx 1553#10,1,,3.3,3.8,3.3,0,15,290,38,161,142,161,,,y,y
1,4,11,27889, - Mx 1553#103,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,10,27881, - Mx 1553#20,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,9,27873, - Mx 1553#5,1,,1.8,2.9,2.2,0,5,90,13,14,14,,0,,,y
1,4,8,27864, - Mx 1553#80,1,,4.1,4,2.2,0,15,280,42,125,100,127,,,y,y
1,4,7,27855, - Mx 1553#86,1,,2.6,5,2.9,0,15,200,20,115,94,117,,,y,y
1,4,6,27846, - Mx 1553#90,1,,6.5,4.7,5.2,20,45,180,10,53,53,,0,,,y
1,4,5,27838, - Mx 1553#15,1,,4.9,3.4,5.7,5,20,400,20,158,123,161,,,y,y
1,4,4,27829, - Mx 1553#32,1,,2.8,3.9,3,5,15,260,15,54,54,,0,,,y
1,4,3,27822, - Mx 1553#61,1,,5.3,4.6,4.6,5,10,210,24,124,105,124,,,y,y
1,4,2,27813, - Mx 1553#75,1,,5.5,6.8,4.5,5,15,150,14,77,75,,0,,,y
1,4,1,27804, - Mx 1553#24,1,,4.8,6.3,4.2,0,10,330,32,165,143,165,,,y,y
1,5,1,27805, - Mx 1553#17,1,,5,5.5,5.6,0,10,200,10,134,120,134,,,y,y
1,5,2,27814, - Mx 1553#97,1,,6.2,5.4,3.6,0,10,150,13,137,113,144,,,y,y
1,5,3,27823, - Mx 1553#57,1,,4.1,5.9,3.9,5,20,320,24,112,90,118,,,y,y
1,5,4,27830, - Mx 1553#67,1,,4.3,4.4,4.5,0,10,200,13,79,77,,0,,,y
1,5,5,27839, - Mx 1553#88,1,,3.6,4.2,3.3,0,15,200,23,139,115,139,,,y,y
1,5,6,27847, - Mx 1553#51,1,,4.3,3.8,4.3,0,15,130,13,67,67,,0,,,y
1,5,7,27856, - Mx 1553#94,1,,4.3,5.2,5.3,0,15,220,13,160,131,164,,,y,y
1,5,8,27865, - Mx 1553#8,1,,4.9,2.9,3.7,0,20,260,22,90,90,,0,,,y
1,5,9,27874, - Mx 1553#22,1,,4.1,3.6,2.5,0,10,280,24,147,121,153,,,y,y
1,5,10,27882, - Mx 1553#92,1,,4.2,5.7,5.8,0,15,330,27,153,126,159,,,y,y
1,5,11,27890, - Mx 1553#84,1,,5.6,6.8,7.2,0,10,170,10,145,119,145,,,y,y
1,5,12,27898, - Mx 1553#60,1,,3.5,2.8,2.5,0,15,270,23,109,96,,,y,,y
1,6,12,27899, - Mx 1553#82,1,,4.2,5.7,3.6,0,15,300,20,155,135,155,,y,,y
1,6,11,27891, - Mx 1553#104,1,,4.3,5.3,4.8,0,5,220,14,150,130,150,,,y,y
1,6,10,27883, - Mx 1553#59,1,,4.3,4.8,4.5,0,20,280,18,75,75,,0,,,y
1,6,9,27875, - Mx 1553#119,1,,3.5,4.9,4.7,0,10,240,23,155,127,155,,,y,y
1,6,8,27866, - Mx 1553#98,1,,3,3.8,3.2,0,10,230,22,60,60,,0,,,y
1,6,7,27857, - Mx 1553#39,1,,4.2,4.5,5.7,0,15,240,22,149,139,149,,,y,y
1,6,6,27848, - Mx 1553#78,1,,4.6,2.6,3.6,10,35,140,11,25,25,,0,,,y
1,6,5,27840, - Mx 1553#118,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,4,27831, - Mx 1553#95,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,3,27824, - Mx 1553#117,1,,4.1,3.3,5.3,5,10,380,19,115,94,115,,,y,y
1,6,2,aBR 15 fS B1-R6 C2, - Mx 1553#112,1,,5.2,4.3,3.3,15,35,150,5,50,47,,0,,,y
1,6,1,27806, - Mx 1553#102,1,,5.2,3.9,6,0,5,370,13,119,95,120,,,y,y
1,7,1,27807, - Mx 1553#76,1,,4.4,3.5,4.4,0,5,160,14,141,118,146,,,y,y
1,7,2,27816, - Mx 1553#113,1,,4.1,3.8,3.3,5,15,410,14,155,125,155,,,y,y
1,7,3,aBR 15 fS B1-R7 C3,Giganteus,1,,4.4,2.1,3,5,10,180,14,44,44,,0,,,y
1,7,4,27832, - Mx 1553#42,1,,3.2,5.3,4.3,5,5,130,6,93,65,104,,,y,y
1,7,5,27841, - Mx 1553#40,1,,4.7,3.7,3.2,0,5,150,9,71,71,,0,,,y
1,7,6,27849, - Mx 1553#68,1,,4.7,5.5,3.9,5,10,120,13,120,100,120,,,y,y
1,7,7,27858, - Mx 1553#14,1,,3.4,4.3,4.2,5,15,180,10,125,93,126,,,y,y
1,7,8,27867, - Mx 1553#69,1,,5.1,4,4.9,5,10,220,22,146,133,146,,,y,y
1,7,9,27876, - Mx 1553#16,1,,3.6,5.2,4.5,5,15,190,20,119,93,133,,,y,y
1,7,10,27884, - Mx 1553#81,1,,4.1,4.5,2.6,0,5,240,7,101,70,103,,,y,y
1,7,11,27892, - Mx 1553#26,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
