,,,,,,,Stem,Stem,Stem,stemdiameter,Clump,Transect,Tallest Stem,,,Flowering Intensity,,,Senesced
,,,,,,,Diameter,Diameter,Diameter,mean,Diameter mm,Count,True leaf,Ligule,Flower,<50,>50,>80,>80
,,,,,,,Date,Date,Date,,Date,Date,Date,Date,Date,Date,Date,Date,Date
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BLOCK,ROW,COLUMN,UID,Mx Number,Block,,StemDiam1,StemDiam2,StemDiam3,meanStemDiam,ClumpDiam,TransectCount,TallestStemTrueLeaf,TallestStemLigule,TallestStemFlower,FloweringIntensityLessThan50,FloweringIntensityGreaterThan50,FloweringIntensityGreaterThan80,SenescedGreaterThan80
1,1,1,27801, - Mx 1553#114,1,,2.34,2,2.31,2.22,90,10,22,23,,y,,,y
1,1,2,27810, - Mx 1553#101,1,,4.81,3.99,4.95,4.58,300,18,164,184,194,,,y,y
1,1,3,27819, - Mx 1553#25,1,,6.31,4.41,6.04,5.59,370,10,162,183,191,,,y,y
1,1,4,27827, - Mx 1553#1,1,,5.06,5.36,4.29,4.9,270,25,121,123,,y,,,y
1,1,5,27835, - Mx 1553#45,1,,3.34,3.6,4.24,3.73,280,15,130,159,161,,,y,y
1,1,6,aBR 15 fS B1-R1 C6, - Goliath,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,27852, - Mx 1553#28,1,,5.94,4.88,5.49,5.44,230,19,151,174,180,,,y,y
1,1,8,27861, - Mx 1553#79,1,,5.57,5.09,5.31,5.32,490,9,152,186,191,,,y,y
1,1,9,27870, - Mx 1553#105,1,,5.19,5.73,5.06,5.33,310,12,198,225,228,,,y,y
1,1,10,27878, - Mx 1553#48,1,,4.94,5.25,4.37,4.85,380,19,148,165,171,,y,,y
1,1,11,27887, - Mx 1553#120,1,,4.59,4.7,4.54,4.61,310,25,129,145,150,,y,,y
1,1,12,27895, - Mx 1553#74,1,,4.37,4.2,4.87,4.48,410,16,167,193,,,,y,y
1,2,12,aBR 15 fS B1-R2 C12, - Goliath,1,,8.12,7.97,7.98,8.02,280,12,180,210,212,,,y,y
1,2,11,aBR 15 fS B1-R2 C11, - Goliath,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,10,27879, - Mx 1553#4,1,,4.95,4.57,4.75,4.76,290,17,136,150,157,,,y,y
1,2,9,27871, - Mx 1553#77,1,,5.08,5.24,5.16,5.16,300,18,173,190,,,,y,y
1,2,8,27862, - Mx 1553#110,1,,4.74,4.25,4.69,4.56,360,20,182,202,,,,y,y
1,2,7,27853, - Mx 1553#6,1,,5.02,4.69,5.57,5.09,430,18,153,176,179,,,y,y
1,2,6,27844, - Mx 1553#36,1,,4.93,5.81,4.05,4.93,330,17,183,208,218,,,y,y
